2015/01/07 11:40:50 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2015/01/07 11:40:51 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-1 
2015/01/07 11:40:51 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/01/07 11:40:51 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : decriptor-user 
2015/01/07 11:40:51 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group decriptor-user. 
2015/01/07 11:40:51 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/01/07 11:40:51 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2015/01/07 11:40:51 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2015/01/07 11:40:51 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/01/07 11:40:51 INFO  - jmeter.threads.JMeterThread: Thread started: decriptor-user 2-1 
2015/01/07 11:40:51 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = Disewakan-WiFi-Lancar-Jaya-Hubungi-Tonito.local 
2015/01/07 11:40:51 INFO  - jmeter.protocol.http.sampler.HTTPHC3Impl: HTTP request retry count = 0 
2015/01/07 11:40:51 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2015/01/07 11:40:51 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2015/01/07 11:40:51 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2015/01/07 11:40:51 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2015/01/07 11:40:52 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-2 
2015/01/07 11:40:52 INFO  - jmeter.threads.JMeterThread: Thread finished: decriptor-user 2-1 
2015/01/07 11:40:53 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-3 
2015/01/07 11:40:54 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-4 
2015/01/07 11:40:55 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-5 
2015/01/07 11:40:56 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-6 
2015/01/07 11:40:57 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-7 
2015/01/07 11:40:58 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-8 
2015/01/07 11:40:59 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-9 
2015/01/07 11:41:00 INFO  - jmeter.threads.JMeterThread: Thread started: android users 1-10 
2015/01/07 11:41:03 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-3 
2015/01/07 11:41:03 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-4 
2015/01/07 11:41:04 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-1 
2015/01/07 11:41:05 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-2 
2015/01/07 11:41:06 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-5 
2015/01/07 11:41:07 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-7 
2015/01/07 11:41:08 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-6 
2015/01/07 11:41:09 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-9 
2015/01/07 11:41:10 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-8 
2015/01/07 11:41:10 INFO  - jmeter.threads.JMeterThread: Thread finished: android users 1-10 
2015/01/07 11:41:10 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2015/01/07 11:41:10 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2015/01/07 11:41:43 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/01/07 11:41:43 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2015/01/07 11:41:43 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/01/07 11:41:43 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : android users 
2015/01/07 11:41:43 INFO  - jmeter.engine.StandardJMeterEngine: Starting 10 threads for group android users. 
2015/01/07 11:41:43 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/01/07 11:41:43 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 10 ramp-up 10 perThread 1000.0 delayedStart=false 
